Epoch,Train_Loss,Val_Loss,Val_Accuracy
1,1.099175,1.054196,0.412963
2,1.078556,1.075918,0.388889
3,1.072676,1.041229,0.387037
4,1.065642,1.026712,0.424074
5,1.046670,0.990990,0.496296
6,1.011652,0.949426,0.520370
7,0.938747,0.894140,0.607407
8,0.897489,0.857680,0.624074
9,0.877282,0.821314,0.622222
10,0.842990,0.799440,0.653704
11,0.862251,0.797741,0.646296
12,0.820335,0.697464,0.729630
13,0.810859,0.702894,0.718519
14,0.771552,0.581520,0.768519
15,0.752401,0.590512,0.779630
16,0.648558,0.529287,0.800000
17,0.678961,0.488966,0.790741
18,0.689805,0.531914,0.772222
19,0.613193,0.483764,0.807407
20,0.591055,0.382289,0.859259
21,0.582676,0.412383,0.859259
22,0.541519,0.296037,0.890741
23,0.538701,0.336916,0.883333
24,0.526114,0.350919,0.868519
25,0.517584,0.313659,0.887037
26,0.518037,0.361999,0.874074
27,0.492913,0.286985,0.903704
28,0.502933,0.311468,0.911111
29,0.482510,0.234790,0.929630
30,0.467153,0.358877,0.887037
31,0.469664,0.340268,0.881481
32,0.460636,0.201016,0.940741
33,0.434111,0.201100,0.942593
34,0.395778,0.189481,0.929630
35,0.451672,0.220664,0.935185
36,0.427322,0.215176,0.933333
37,0.396399,0.189164,0.944444
38,0.405034,0.201695,0.931481
39,0.377915,0.245355,0.909259
40,0.341941,0.164276,0.946296
41,0.413908,0.207195,0.922222
42,0.366497,0.169598,0.948148
43,0.345049,0.234682,0.912963
44,0.352748,0.138361,0.957407
45,0.334041,0.166081,0.944444
46,0.354221,0.164128,0.950000
47,0.343237,0.166511,0.950000
48,0.314784,0.124805,0.959259
49,0.303776,0.135062,0.951852
50,0.339765,0.118579,0.961111
51,0.306124,0.139950,0.955556
52,0.303713,0.127633,0.957407
53,0.297035,0.180180,0.933333
54,0.325771,0.136657,0.950000
55,0.299157,0.147147,0.957407
56,0.299742,0.152055,0.940741
57,0.287474,0.132156,0.950000
58,0.294259,0.109255,0.961111
59,0.263694,0.101204,0.961111
60,0.270923,0.108921,0.957407
61,0.273981,0.124336,0.961111
62,0.285460,0.129612,0.957407
63,0.245510,0.081887,0.975926
64,0.269303,0.115494,0.955556
65,0.245150,0.094987,0.970370
66,0.264408,0.115059,0.966667
67,0.252973,0.090328,0.964815
68,0.263462,0.095567,0.961111
69,0.230537,0.079097,0.977778
70,0.225180,0.084032,0.975926
71,0.270870,0.091583,0.966667
72,0.225579,0.173464,0.937037
73,0.251715,0.108026,0.953704
74,0.265158,0.103665,0.962963
75,0.226341,0.067116,0.979630
76,0.228521,0.102558,0.966667
77,0.225119,0.080707,0.974074
78,0.232969,0.087634,0.968519
79,0.203755,0.097707,0.968519
80,0.210260,0.082591,0.970370
81,0.204386,0.087324,0.975926
82,0.195035,0.092928,0.968519
83,0.226801,0.081298,0.977778
84,0.219495,0.091043,0.968519
85,0.218719,0.059169,0.987037
86,0.192416,0.059776,0.983333
87,0.203592,0.072829,0.975926
88,0.224794,0.082571,0.970370
89,0.194635,0.054134,0.987037
90,0.189175,0.058144,0.979630
91,0.192275,0.083266,0.975926
92,0.182979,0.070644,0.977778
93,0.188805,0.061880,0.985185
94,0.176758,0.050352,0.987037
95,0.186920,0.044703,0.990741
96,0.177891,0.065321,0.975926
97,0.196743,0.061722,0.983333
98,0.168785,0.060870,0.979630
99,0.184708,0.063090,0.987037
100,0.176388,0.054455,0.985185
101,0.174238,0.051526,0.983333
102,0.176090,0.065684,0.974074
103,0.197565,0.069380,0.981481
104,0.176087,0.045102,0.990741
105,0.168063,0.040458,0.985185
106,0.171374,0.036169,0.987037
107,0.182884,0.042809,0.988889
108,0.159079,0.040395,0.988889
109,0.173167,0.051963,0.983333
110,0.153748,0.045280,0.987037
111,0.177069,0.038082,0.990741
112,0.178087,0.048099,0.987037
113,0.165788,0.042985,0.987037
114,0.180496,0.046837,0.987037
115,0.174758,0.042315,0.988889
116,0.160662,0.041448,0.988889
117,0.172628,0.049033,0.981481
118,0.160782,0.040439,0.990741
119,0.166373,0.039155,0.992593
120,0.163697,0.045475,0.988889
121,0.164564,0.041787,0.988889
122,0.160237,0.041227,0.990741
123,0.165021,0.039378,0.990741
124,0.164780,0.038039,0.988889
125,0.142172,0.039066,0.990741
126,0.150621,0.036058,0.992593
127,0.154658,0.041685,0.990741
128,0.163501,0.038471,0.990741
129,0.151605,0.040355,0.988889
130,0.139212,0.038970,0.988889
131,0.145546,0.038507,0.990741
132,0.136790,0.039352,0.990741
133,0.133206,0.037592,0.990741
134,0.141218,0.038012,0.990741
135,0.140584,0.037877,0.990741
136,0.149120,0.037102,0.990741
137,0.141356,0.038098,0.990741
138,0.131580,0.038954,0.990741
139,0.148290,0.039168,0.990741
140,0.166885,0.040573,0.990741
141,0.152990,0.040214,0.990741
142,0.164259,0.039937,0.990741
143,0.139103,0.039808,0.990741
144,0.148515,0.039933,0.990741
